covid.help.10.pregnancy;10;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Quais são os efeitos da COVID-19 em uma mulher que está gravida? 
2. Se a grávida tem COVID-19, a doença pode afetar o bebê?
3. Uma mulher com a COVID-19 pode continuar amamentando?
4. Se eu estiver com sintomas que parecem COVID-19 o meu bebê precisa fazer o teste?
5. O que eu preciso fazer para evitar que o meu bebê seja infectado com o novo coronavírus? 
6. Posso ter parto normal durante a pandemia?
7. Se estiver gripada, devo realizar minha consulta de pré-natal normalmente?
8. Se alguém da minha casa estiver com suspeita de COVID-19, eu posso ir à consulta de pré-natal?
9. Estou grávida, devo iniciar meu pré-natal agora mesmo com a pandemia da COVID-19?
10. Voltar às opções anteriores"
covid.help.10.pregnancy.1.;um;As gestantes com COVID-19 podem ter quadros graves da doença na mesma proporção da população jovem.  Aquelas que já tinham alguma doença como diabetes, problema no coração ou pulmão, pressão alta, têm mais risco e precisam de mais cuidados.
covid.help.10.pregnancy.10.previous;dez;[]
covid.help.10.pregnancy.2.;dois;Em relação à transmissão do vírus ao bebê, parece ser possível de acontecer, mas ainda não se sabe com qual frequência e como isso afeta o bebê.
covid.help.10.pregnancy.3.;tres;A amamentação poderá ser continuada. Sugere-se algumas precauções para reduzir os riscos de contaminação do bebê, como lavar bem as mãos antes e depois de cada mamada, usar máscara que cubra a boca e o nariz durante a amamentação.
covid.help.10.pregnancy.4.;quatro;Se o seu bebê estiver bem, isso não será necessário. Você deve observá-lo e tomar os cuidados para evitar que ele seja contaminado, tais como lavar bem as mãos antes e depois de qualquer cuidado com o seu filho, usar máscara que cubra a boca e o nariz quando amamentar, manter o berço a uma distância idealmente a 2 metros da sua cama.
covid.help.10.pregnancy.5.;cinco;Os cuidados são: evitar visitas nesse período de pandemia, lavar bem as mãos antes e depois de quaisquer cuidados com o seu filho. Você e todas as pessoas que moram na mesma casa devem se cuidar para evitar se contaminar pelo coronavírus.
covid.help.10.pregnancy.6.;seis;O tipo de parto não se altera. O parto vaginal é seguro e a cesariana tem as suas indicações, como antes.
covid.help.10.pregnancy.7.;sete;Se você estiver com sintomas de gripe, o melhor é ficar em casa, mas não deixe de continuar o pré-natal. Entre em contato com o posto de saúde para reagendarem a sua consulta de pré-natal para após o período de isolamento (14 dias após início dos sintomas).
covid.help.10.pregnancy.8.;oito;Se alguém em sua casa estiver em isolamento domiciliar, entre em contato com a unidade básica de saúde para reagendarem a sua consulta, se possível para após o período de isolamento (14 dias após início dos sintomas ou contato com quem está com sintomas).
covid.help.10.pregnancy.9.;nove;Sim. Agende imediatamente sua consulta de pré-natal na unidade básica de saúde, se não estiver com sintomas de gripe ou em contato com pessoa suspeita ou isolada. A frequência das consultas e exames de pré-natal podem sofrer algumas mudanças.
covid.help.11.pets;onze;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Cães e gatos podem se infectar pelo novo coronavírus?
2. Posso beijar e abraçar meu cachorro? 
3. Quais devem ser os cuidados com meus animais se eu estiver com COVID-19?
4. Devo vacinar meu cachorro contra o coronavírus?
5. Devo colocar uma máscara no meu cão se ele estiver doente?
6. Devo abandonar ou sacrificar meu animal de estimação como medida de segurança?
7. Sou um(a) passeador(a) e/ou cuidador(a) de animais. Devo abandonar meu emprego?
8. Como posso ajudar os animais abandonados na minha vizinhança sem arriscar minha saúde?
9. Voltar às opções anteriores"
covid.help.11.pets.1.;um;De acordo com a Organização Mundial da Saúde (OMS), até o momento não há evidências científicas que comprovem que animais de estimação possam adoecer pelo novo coronavírus ou que funcionem como reservatório do vírus. O assunto continua sendo estudado. É fundamental manter hábitos de higiene, lavando as mãos antes e depois do contato com os animais ou seus pertences. Evitar sair de casa. As patas e o corpo do animal podem se contaminar com partículas virais, sendo necessário lavar com água e sabão ao retornar ao domicílio.
covid.help.11.pets.2.;dois;Assim como os humanos, cães e gatos carregam bactérias em suas bocas que podem causar doenças. Além disso, você também pode colocar a saúde do seu animal em risco. É claro que você pode e deve continuar a dar carinho a seu animal, mas lembre-se sempre de lavar as mãos antes e depois de acariciá-lo, abraçá-lo, alimentá-lo ou levá-lo para passear.
covid.help.11.pets.3.;três;"O Centro de Controle de Doenças (CDC) recomenda:
Restrinja o contato com animais de estimação e com outras pessoas;
Se possível, peça que outra pessoa cuide de seu animal enquanto você estiver doente;
Evite o contato mais próximo com seu animal, incluindo abraços, beijos, carinhos e lambidas;
Não compartilhe alimentos com seus animais;
Se o contato for necessário, lave as mãos com água e sabão antes e após o contato;
Use máscara facial."
covid.help.11.pets.4.;quatro;Vacinas caninas contra coronavírus protegem o animal contra o vírus CCoV, que causa infecção no sistema digestivo desses animais. Não tem eficácia contra o novo coronavírus, mas é importante que você mantenha a vacinação dos seus animais de estimação em dia para protegê-los de outras doenças.
covid.help.11.pets.5.;cinco;Não. Não há evidências de que cães ou gatos possam transmitir o novo coronavírus às pessoas ou adoecer devido a esse vírus. Colocar máscaras nestes animais pode causar problemas como estresse, dificuldade respiratória, aumento extremo de temperatura e desmaios.
covid.help.11.pets.6.;seis;Nunca! Até o momento, não há evidências de que cães ou gatos possam adoecer pelo novo coronavírus ou transmitir a doença para os seres humanos. O abandono não deve ser uma opção.
covid.help.11.pets.7.;sete;Siga as recomendações do Conselho Veterinário de seu estado e/ou da prefeitura da sua cidade. Uma alternativa é substituir os passeios com os cães por cuidados dentro de casa, brincando e oferecendo atividades para que eles se exercitem. A lavagem adequada das mãos antes e depois da interação com os animais é essencial.
covid.help.11.pets.8.;oito;Se puder ajudar a alimentar os animais que necessitam dessa ajuda, faça isso com precaução para proteger sua saúde. Se tiver sintomas respiratórios, não saia de casa e peça a outras pessoas para continuarem este trabalho de forma segura.
covid.help.11.pets.9.previous;nove;[]
covid.help.2.transmission;dois;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Como o coronavírus é transmitido entre as pessoas?
2. Durante quanto tempo o indivíduo contaminado é capaz de transmitir o coronavírus?
3. Para quantos indivíduos, em média, uma pessoa contaminada transmite o coronavírus?
4. Por quanto tempo o coronavírus permanece vivo nas diferentes superfícies?
5. Voltar às opções anteriores"
covid.help.2.transmission.1.;um;A transmissão acontece a partir de gotículas respiratórias eliminadas pela pessoa doente durante a fala, a tosse e os espirros. As gotículas atingem cerca de 1 metro, mas em espirros e tosse podem alcançar distâncias maiores, até de alguns metros. A transmissão a partir das mãos que tocam superfícies contaminadas pelo indivíduo doente parece ser a principal fonte de disseminação, por isso é importante higienizar as mãos após tocar superfícies e evitar tocar no rosto.
covid.help.2.transmission.2.;dois;As evidências atuais indicam que ela ocorra principalmente durante o período em que o paciente apresenta sintomas, como febre, tosse, coriza, nariz entupido e dor de garganta, mas podem ser estender até 14 dias do início dos sintomas. Além disso, existem dados científicos que indicam que a transmissão do coronavírus pode ocorrer antes mesmo da pessoa infectada apresentar sintomas, por isso é muito importante manter o distanciamento social!
covid.help.2.transmission.3.;tres;Sem as medidas de distanciamento social, estima-se que uma única pessoa contaminada levará a  cerca de 406 novos casos de doença ao final de 30 dias, mas se reduzirmos a exposição em 50%, este número será de 15 novos casos. Já se reduzirmos a exposição em 75%, este número será de 2,5 casos.
covid.help.2.transmission.4.;quatro;Estes dados ainda estão em estudo. Um estudo recente publicado em uma revista respeitada (NEJM) mostrou que em média o vírus permanece por até 3 horas no ar, até 24 horas no papelão e 3 dias no plástico e nos metais.
covid.help.2.transmission.5.previous;cinco;[]
covid.help.3.symptoms;3;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Quais são os principais sinais e sintomas da doença causada pelo coronavírus?
2. A doença causada pelo coronavírus é grave?
3. Qual a taxa de mortalidade associada à doença causada pelo coronavírus?
4. Qual o motivo da enorme preocupação e mobilização mundial para conter a disseminação do vírus?
5. Como saber se pertenço aos grupos de risco?
6. Voltar às opções anteriores"
covid.help.3.symptoms.1.;um;As manifestações frequentes são febre, tosse seca ou com pouca secreção e sensação de falta de ar. Algumas pessoas podem apresentar nariz entupido ou escorrendo, dor de garganta, de cabeça ou no corpo, alteração na capacidade de sentir cheiro ou gosto dos alimentos, enquanto outras podem apresentar enjoo, vômitos e diarreia. Os casos mais graves podem evoluir com intensa falta de ar e sensação de desmaio.
covid.help.3.symptoms.2.;dois;Em estudos com pacientes chineses, a doença foi leve em 81% dos casos, grave em 14% deles e gravíssima em 5%. De maneira geral, cerca de 15% dos pacientes com a doença precisam de internação hospitalar e 5 a 7% precisam de tratamento na UTI.
covid.help.3.symptoms.3.;tres;Em estudos com pacientes chineses, a taxa de mortalidade da doença foi de 2,3%. Entretanto, em outros países esta taxa pode variar para menos ou para mais. É o caso da Coréia do Sul, que registrou uma taxa de letalidade de 0,7% e da Itália que, pelo contrário, tem registrado taxas mais elevadas, em torno de 10%. Até o momento, dados brasileiros estimam 6,7% de letalidade.
covid.help.3.symptoms.4.;quatro;A taxa de mortalidade da doença tem variado de país para país (0,7 a 10%). Isso pode ter relação com as estratégias que cada um tem usado para combater o vírus e com os sistemas de saúde locais. Trata-se de um vírus altamente contagioso, que pode contaminar a maior parte da população de um país se as orientações não forem acatadas. Como cerca de 15% dos doentes precisam de internação hospitalar, a infecção maciça da população pode gerar um colapso do sistema de saúde, que pode não dispor do número suficiente de leitos para a internação das pessoas doentes. Esta situação pode aumentar muito a taxa de mortalidade da doença.
covid.help.3.symptoms.5.;cinco;Os principais grupos de risco para a doença causada pelo coronavírus são os idosos (idade acima de 60 anos), pacientes que apresentem hipertensão arterial, doenças cardiovasculares (como insuficiência cardíaca, infarto prévio), diabetes, doenças pulmonares, insuficiência renal crônica, câncer, pacientes transplantados, que fazem uso de medicações imunossupressoras (como azatioprina, ciclofosfamida, metotrexato) ou com cromossomopatias, como Síndrome de Down, além de gestantes.
covid.help.3.symptoms.6.previous;seis;[]
covid.help.4.orientation;4;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Se eu estiver com algum sintoma gripal, posso sair de casa?
2. Se eu estiver com algum sintoma gripal, devo procurar o serviço de saúde?
3. Como saber se pertenço aos grupos de risco?
4. Como vou me tratar se eu estiver com o coronavírus?
5. Quais são os sinais de gravidade da infecção por coronavírus?
6. Voltar às opções anteriores"
covid.help.4.orientation.1.;um;Idealmente o paciente com sintomas respiratórios só deve sair de casa  se precisar ir ao médico, usando uma máscara cirúrgica. Em qualquer outra situação, uma pessoa que more com você e que não pertença aos grupos de risco, deve fazer as atividades que envolvam sair de casa, como compra de alimentos e remédios.
covid.help.4.orientation.2.;dois;A maior parte das pessoas com sintomas respiratórios NÃO deve procurar os serviços de saúde, pois correm o risco de se contaminar, caso seus sintomas não estejam sendo causados pelo coronavírus. A maioria das pessoas tem a doença leve, que pode ser tratada em casa com repouso, hidratação e, se necessário, remédio para dor ou febre (dipirona ou paracetamol).  É importante tomar cuidado para não contaminar as outras pessoas que moram na mesma residência (usar máscara nas áreas comuns, evitar contato íntimo, lavar as mãos, espirrar ou tossir no lenço de papel e jogá-lo no lixo). Se você não pertence ao grupo de risco, deve procurar assistência médica apenas se houver sintomas de gravidade, como dificuldade para respirar, respiração ofegante, sensação de desmaio ou febre por mais de 3 dias ou que desaparece por dois dias e volta a aparecer.
covid.help.4.orientation.3.;tres;Os principais grupos de risco para a doença causada pelo coronavírus são os idosos (idade acima de 60 anos), pacientes que apresentem hipertensão arterial, doenças cardiovasculares (como insuficiência cardíaca, infarto prévio), diabetes, doenças pulmonares, insuficiência renal crônica, câncer, pacientes transplantados, que fazem uso de medicações imunossupressoras (como azatioprina, ciclofosfamida, metotrexato) ou com cromossomopatias, como Síndrome de Down, além de gestantes.
covid.help.4.orientation.4.;quatro;A maior parte das pessoas com coronavírus apresenta quadros leves e o tratamento consiste em repouso, uso de medicações para baixar a febre (dipirona ou paracetamol), hidratação e alimentação adequada. Não existem, até o momento, medicações para tratar o coronavírus. Por isso, é mais seguro para você e para a sua família que você permaneça em casa, a não ser que esteja apresentando algum sinal de gravidade.
covid.help.4.orientation.5;cinco;Se você apresentar falta de ar (parado ou ao fazer alguma movimentação como andar, tomar banho ou arrumar a casa), se tiver sensação de desmaio ou se a sua febre persistir por mais de 03 dias ou desaparecer e retornar após 02 dias, deverá procurar imediatamente um serviço de saúde para avaliação médica.
covid.help.4.orientation.6.previous;seis;[]
covid.help.5.treatment;cinco;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Existe tratamento para eliminar o coronavírus?
2. O interferon é um tratamento contra o coronavírus?
3. Os antirretrovirais são tratamentos eficazes contra o coronavírus?
4. A cloroquina e a hidroxicloroquina são tratamentos eficazes contra o coronavírus?
5. A vitamina D é um tratamento eficaz contra o coronavírus?
6. Comer alho ajuda a evitar a infecção pelo coronavírus?
7. Uma pessoa que esteja com infecção suspeita ou confirmada por coronavírus pode usar ibuprofeno?
8. Uma pessoa que esteja com infecção suspeita ou confirmada por coronavírus pode usar anti-inflamatório?
9. Sou hipertenso. Devo avaliar com meu médico a troca da medicação?
10. Existe vacina para o coronavírus?
11. A vacina de gripe protege contra o coronavírus?
12. Voltar às opções anteriores"
covid.help.5.treatment.1.;um;Até o presente momento não. Os tratamentos que têm sido divulgados pela mídia ainda são experimentais e não temos evidências de que eles realmente funcionem. O uso de tais tratamentos pode causar efeitos colaterais ao doente e, por isso, não deve ser encorajado. O tratamento do coronavírus deverá ser feito em seu próprio domicílio, com repouso, uso de medicações para a febre, hidratação e alimentação adequada, a não ser que sinais de gravidade estejam presentes.
covid.help.5.treatment.10.;dez;Até o presente momento não. Vários laboratórios ao redor do mundo têm se empenhado para desenvolver, testar, produzir e distribuir a vacina, porém este processo demora. Não existem expectativas, em curto prazo (dias ou semanas), de que a vacina esteja liberada para uso pela população.
covid.help.5.treatment.11.;onze;Não. A vacina anual para a gripe não possui qualquer efeito protetor contra o coronavírus. Entretanto, esta vacina possui efeito contra os principais vírus causadores da gripe e deve ser utilizada pelos grupos recomendados.
covid.help.5.treatment.12.previous;doze;[]
covid.help.5.treatment.2.;dois;Até o momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem evidências científicas suficientes que nos confirme que o interferon seja uma medicação eficaz. Esta medicação ainda está sendo testada e não deve fazer parte do tratamento de pessoas infectadas. Além disso, esta medicação possui muitos efeitos que podem ser perigosos para a saúde. Precisamos aguardar os resultados de novos estudos para avaliar se esta medicação será incorporada ao tratamento da doença.
covid.help.5.treatment.3.;três;Até o presente momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem evidências científicas suficientes que nos confirme que os antirretrovirais, que são medicações utilizadas no tratamento de pessoas infectadas pelo HIV, sejam eficazes contra o coronavírus. Estas medicações ainda estão sendo testadas e não devem fazer parte do tratamento de pessoas infectadas. Precisamos aguardar os resultados de novos estudos para avaliar se esta medicação será incorporada ao tratamento da doença.
covid.help.5.treatment.4.;quatro;Até o presente momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem estudos que nos confirmem que a cloroquina ou a hidroxicloroquina sejam medicações eficazes neste contexto. Estas medicações ainda estão sendo testadas e não devem fazer parte do tratamento de pessoas infectadas. Tais medicações possuem muitos efeitos que podem ser prejudiciais à saúde, incluindo arritmias cardíacas e alterações visuais, que podem ser graves.  Precisamos aguardar os resultados de novos estudos para avaliar se esta medicação será incorporada ao tratamento da doença.
covid.help.5.treatment.5.;cinco;Até o presente momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem evidências científicas suficientes que nos confirme que a vitamina D seja uma medicação eficaz neste contexto.
covid.help.5.treatment.6.;seis;O alho apresenta propriedades contra algumas bactérias, porém não existem quaisquer evidências científicas de que este alimento possa evitar a infecção pelo coronavírus.
covid.help.5.treatment.7.;sete;O ibuprofeno é um tipo de anti-inflamatório utilizado para alívio da febre e de dores. Houve uma recomendação inicial de não usar esse medicamento para tratar pessoas com doença causada pelo coronavírus, pelo risco de aumentar o risco de evolução para a forma grave da doença, mas ainda são necessários mais estudos para saber se ele é prejudicial. A recomendação do Ministério da Saúde é preferir uso de analgésicos comuns, como dipirona e paracetamol, mas se o anti-inflamatório for necessário, ele pode ser usado. Neste caso, usar a menor dose necessária para alívio dos sintomas.
covid.help.5.treatment.8.;oito;Houve uma recomendação inicial de não usar o anti-inflamatório ibuprofeno para tratar pessoas com doença causada pelo coronavírus, pelo risco de aumentar o risco de evolução para a forma grave da doença, mas ainda são necessários mais estudos para saber se ele é prejudicial. A recomendação do Ministério da Saúde é preferir uso de analgésicos comuns, como dipirona e paracetamol, mas se o anti-inflamatório for necessário, ele pode ser usado. Neste caso, usar a menor dose necessária para alívio dos sintomas.
covid.help.5.treatment.9.;nove;A suspensão desses medicamentos pode levar a consequências sérias para a sua saúde. As evidências científicas a respeito da influência dos remédios de pressão alta na infecção por coronavírus são questionáveis, portanto, você não deve parar de usá-los por conta própria, a não ser por orientação médica.
covid.help.6.housecare;6;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Se houver uma pessoa com sintomas gripais que resida na mesma casa que eu, como devemos proceder?
2. Como fazer a limpeza da casa quando houver alguma pessoa com sintomas gripais?
3. A pessoa com sintomas gripais pode preparar a comida para outros moradores da casa?
4. Como devemos proceder com o lixo gerado por uma pessoa de nossa casa que esteja com sintomas de infecção respiratória?
5. Como devemos proceder com a lavagem das roupas de uma pessoa de nossa casa que esteja com sintomas gripais?
6. Voltar às opções anteriores"
covid.help.6.housecare.1.;um;"A pessoa com sintomas respiratórios deverá ter os seguintes cuidados durante 14 dias, a partir do primeiro dia de sintomas:

Sempre que possível, ficar isolada em um quarto próprio, sem acompanhante, mantendo janelas abertas; 
Se for possível, usar um banheiro diferente das outras pessoas da residência; 
Não compartilhar toalhas, talheres, pratos ou qualquer outro objeto com outra pessoa;
Evitar utilizar áreas comuns da casa. 
Quando sair do quarto, usar máscara cirúrgica e higienizar as mãos antes de tocar em qualquer objeto.
Manter distância mínima de 2 metros de outras pessoas."
covid.help.6.housecare.2.;dois;"Deve-se ter cuidado para evitar transmissão para outros moradores. Devem ser realizadas 2 limpezas: uma específica para o cômodo onde o paciente está isolado e outra para o restante da casa. O ideal é que o próprio doente limpe o cômodo onde está isolado. Se isso não for possível, a pessoa responsável pelo cuidado do doente deverá usar, se possível, máscara cirúrgica, luvas, óculos e avental. Antes de colocar as luvas, lavar as mãos com água e sabão. A limpeza das superfícies que acumulam sujeira mais ""grossa"", como o pó que vemos a olho nu, deverá ser feita primeiramente com água e sabão e, em seguida, solução de água sanitária  (diluir 40mL de água sanitária em 1 litro de água) ou álcool 70%. Se houver apenas um banheiro na casa, o doente deve lavar as mãos antes de tocar qualquer coisa e ele deve ser limpo após cada uso. Tomar cuidado com a torneira da pia, de preferência, fechar com um papel após lavar as mãos, ou limpar a torneira após tocar com a mão. Panos, esponjas e outros utensílios deverão ser lavados com água e sabão."
covid.help.6.housecare.3.;tres;Sempre que possível, ela não deve fazer isso. Ao preparar alimentos, ela irá encostar e contaminar vários objetos na cozinha, aumentando a chance de transmissão para os outros moradores da casa. A pessoa doente deve se alimentar preferencialmente no quarto em que está isolada, pois vai precisar tirar a máscara para comer, e não deve compartilhar pratos e talheres com os outros moradores da casa.
covid.help.6.housecare.4.;quatro;A pessoa com sintomas de infecção respiratória deve ter um lixo no cômodo em que está isolada, para descartar resíduos. O lixo deve ser isolado em um saco plástico e lacrado após o uso. A pessoa que for coletá-lo para descarte, se possível, deve usar luvas. As mãos deverão ser higienizadas com água e sabão ou álcool em gel logo em seguida.
covid.help.6.housecare.5.;cinco;As peças de roupa de pessoas com sintomas gripais deverão ser colocadas em um cesto exclusivo, que deve ser pego, idealmente com luvas, por outra pessoa e despejado na máquina de lavar. Após colocar as roupas na máquina, as mãos devem higienizadas com água e sabão ou álcool em gel. Proceder à lavagem normalmente, sem necessidade de água sanitária.
covid.help.6.housecare.6.previous;seis;[]
covid.help.7.hygiene;7;"O que você quer saber? Digite ou fale o número ao lado da pergunta.

1. Como devo fazer a lavagem das mãos?
2. Posso utilizar sabão em barra para fazer a lavagem das mãos?
3. O álcool em gel substitui a lavagem das mãos?
4. Posso utilizar qualquer tipo de álcool?
5. Posso fazer o meu próprio álcool em gel em casa?
6. Posso utilizar água sanitária para fazer a limpeza das superfícies?
7. Voltar às opções anteriores"
covid.help.7.hygiene.1.;um;O primeiro passo é retirar todos os adornos, incluindo anéis, aliança, pulseiras e relógio. A lavagem das mãos deve ser feita com água e sabão por um período mínimo de 20 segundos. Toda a superfície da mão, incluindo a palma, o dorso, a região entre os dedos, as unhas e os punhos, deve ser higienizada. Se não for possível fazer a lavagem das mãos, pode-se usar álcool em gel a 70%, desde que não haja sujeira visível.
covid.help.7.hygiene.2.;dois;Sim, você pode fazer a lavagem das mãos com sabão em barra.
covid.help.7.hygiene.3.;três;Sim, você pode fazer a higienização das mãos com álcool em gel a 70%, que tem capacidade de eliminar o vírus, desde que não haja sujeira visível. Lembre-se que o álcool deve ser aplicado em toda a superfície da mão, incluindo a palma, o dorso, a região entre os dedos e os punhos.
covid.help.7.hygiene.4.;quatro;Não. Para que o álcool, tanto líquido quanto em gel, tenha a capacidade de eliminar o vírus, ele deverá ter uma concentração de 70%. Acima de 70% evapora muito rápido, não dá tempo de inativar o vírus. Abaixo de 70% contém mais água e é ineficaz para assepsia. Álcool de bebidas e posto de gasolina Não devem ser usados.
covid.help.7.hygiene.5.;cinco;Não. Não se recomenda a confecção caseira de álcool em gel, já que o procedimento envolve riscos de queimaduras graves e porque não se pode garantir que o produto tenha uma concentração de 70%, o que é indispensável para a eliminação do vírus.
covid.help.7.hygiene.6.;seis;Sim. Pode-se utilizar uma solução de água sanitária.  Para preparar a solução, você pode diluir 200 mL de água sanitária comercial em 5 litros de água (ou  40mL de água sanitária em 1 litro de água). Atenção: esta solução poderá ser utilizada apenas para desinfecção das superfícies (como objetos, paredes, pisos e vidros), nunca deve ser usada no corpo.
covid.help.7.hygiene.7.previous;sete;[]
covid.help.8.behavior;8;[]
covid.help.8.behavior.1.;um;Não. Enquanto durar esta situação de emergência, todas as pessoas, incluindo aquelas que estejam saudáveis, devem permanecer em suas casas e sair apenas em situações inevitáveis, como comprar alimentos ou medicamentos. Não visitar os parentes neste momento é uma medida importante de proteção para eles e para você.
covid.help.8.behavior.10.;dez;Não. Enquanto durar esta situação de emergência, todas as pessoas, incluindo aquelas que estejam saudáveis, devem permanecer em suas casas e sair apenas em situações inevitáveis, como comprar alimentos ou medicamentos. Qualquer tipo de encontro neste momento, mesmo que religioso, deve ser evitado para diminuir o contato social e a propagação da doença.
covid.help.8.behavior.11.;onze;Se for a piscina do condomínio ou de algum clube ou academia, você não deve utilizar, mesmo que não haja outras pessoas utilizando no momento, pois é indispensável que evitemos ao máximo o contato com outros indivíduos e o contato com superfícies potencialmente contaminadas. Se for a piscina da sua casa, utilizada apenas pelas pessoas que moram na mesma residência que você, poderá utilizar, desde que não esteja com sintomas respiratórios.
covid.help.8.behavior.12.previous;doze;[]
covid.help.8.behavior.2.;dois;Se a saída de casa for inevitável, como por exemplo, para fazer compras de alimentos ou medicações, o ideal é que apenas uma pessoa da sua família saia e preferencialmente seja alguém que não pertença aos grupos de risco. Prefira andar de elevador sozinho ou com pessoas da sua família. Procure não tocar nas paredes do elevador e proteja seu dedo com um lenço descartável ou utilize álcool em gel após tocar em qualquer superfície.
covid.help.8.behavior.3.;três;Se a saída de casa for inevitável, como por exemplo, para fazer compras de alimentos ou medicações, o ideal é que apenas uma pessoa da sua família saia e preferencialmente seja alguém que não pertença aos grupos de risco. Nos caixas eletrônicos, proteja seu dedo com um lenço descartável ou utilize álcool em gel após tocar qualquer superfície. Higienize o cartão com álcool em gel antes de guardá-lo.
covid.help.8.behavior.4.;quatro;Sim, o celular é um meio importante de infecção pelo coronavírus e você deve higienizá-lo com frequência. Não se esqueça de remover a capinha de proteção para a higienização completa do aparelho. A capinha também deverá ser higienizada. Se o fabricante permitir, use álcool em gel ou água sanitária diluída em água (diluir 40 mL de água sanitária em 1 litro de água). O aparelho não pode estar carregando na tomada para fazer a higienização.
covid.help.8.behavior.5.;cinco;Lembre-se que a saída de casa deve ser feita apenas em situações inevitáveis. Nestes casos, se for possível, escolha o transporte individual, carro próprio, em carros de aplicativos ou táxis, pois minimiza seu contato com outras pessoas e a chance de infecção pelo coronavírus. Dentro do carro, solicite ao motorista que deixe as janelas abertas. Não toque no rosto, higienize as mãos após sair do carro e coloque as roupas para lavar ao chegar em casa.
covid.help.8.behavior.6.;seis;"É muito importante que se crie uma rotina ao retornar da rua:
Tire os calçados antes de entrar em casa (escolha, se possível, apenas um par de sapatos para ser utilizado quando tiver que sair de casa);
Se possível, lave as mãos com água e sabão, por 20 segundos, na área externa da casa;
Se não puder lavar as mãos antes de entrar, evite tocar nas coisas antes de lavar as mãos;
Não toque crianças, cônjuges ou outras pessoas antes de tirar a roupa e lavar as mãos;
Se possível, tome banho assim que chegar e coloque suas roupas para lavar;
Desinfete celular, chaves e cartões bancários com álcool a 70%;
Mochilas e bolsas de uso diário devem ficar em uma caixa, na área externa da casa ou próximo da porta."
covid.help.8.behavior.7.;sete;É importante que as janelas do transporte público estejam todas abertas, se possível. Evite tocar olhos, boca, nariz ou qualquer outra região do rosto até que desça do transporte e faça a higiene das mãos, com álcool em gel ou água e sabão.  Evite utilizar o transporte público se houver aglomeração. Sente a uma distância de 2 metros das outras pessoas.
